time,vehicle_id,checkpoint_id,gps_lng,gps_lat,speed_kmh
2026-08-29 08:00:00+08,VEH-1001,CP-NORTH-01,116.4074,39.9042,45.2
2026-08-29 08:00:05+08,VEH-1002,CP-NORTH-01,116.4080,39.9045,52.1
2026-08-29 08:00:12+08,VEH-1001,CP-NORTH-02,116.4100,39.9050,48.5
2026-08-29 08:00:18+08,VEH-1003,CP-EAST-05,116.4150,39.9060,60.0
2026-08-29 08:00:25+08,VEH-1002,CP-NORTH-02,116.4105,39.9052,50.3
2026-08-29 08:00:30+08,VEH-1004,CP-SOUTH-03,116.3950,39.9000,35.8
2026-08-29 08:00:35+08,VEH-1001,CP-NORTH-03,116.4120,39.9058,55.1
2026-08-29 08:00:40+08,VEH-1003,CP-EAST-06,116.4180,39.9065,62.4
2026-08-29 08:00:45+08,VEH-1005,CP-WEST-02,116.3800,39.8950,40.0
2026-08-29 08:00:50+08,VEH-1002,CP-NORTH-03,116.4125,39.9060,53.7
